Time,cpi
1990,14.43038
1991,16.371679999999998
1992,9.505703
1993,9.548611
1994,9.825673
1995,6.926407000000001
1996,9.311741
1997,6.17284
1998,8.953488
1999,2.2411950000000003
2000,6.993736999999999
2001,4.5853660000000005
2002,13.508420000000001
2003,-1.634509
2004,2.1989
2005,2.017115
2006,4.8172559999999995
2007,7.568308999999999
2008,9.308292999999999
2009,6.163328
2010,3.338171
2011,6.320225
2012,5.812418
2013,5.243446
2014,5.338078
2015,5.18018
2016,7.066381
2017,4.5
