, gold,exchange_rate,share_prices,long_term_interest_rate,m3,unemployment,gdp,current_account_balance,cpi,ores_metal_imports,prime_energy,investment_gfcf,current_account_balance
1992,-0.059758415304616896,0.03231839583740159,0.051715259501041944,-0.11164942378728338,0.0832616092813323,-0.005681849401454553,-0.020641582225353616,0.9224799983294805,0.618687941129575,0.06781260351059148,0.6799999999999997,0.10935796118520813,0.9224799983294805
1993,0.1599698738617743,0.13607381513692207,0.13512156180456047,-0.18851519447417164,0.06199235227442612,0.0004497802857734712,0.014399374069320459,1.0,0.6210708995668102,0.10946417784063633,0.8666666666666667,0.32969654419645233,1.0
1994,-0.02108336517616305,0.08307314044568948,0.33947785427528343,0.30853286793197165,0.13696584855085714,-0.0007997175247154154,0.03180979913559234,0.7381368562961016,0.6364579423219429,0.0846460635633497,0.9199999999999999,0.7418884060920627,0.7381368562961016
1995,0.01092054534666076,0.02125692841366056,0.026136469812032992,-0.14310084364067333,0.13280196353143836,-0.16841867419713497,0.030686934621300566,0.5324624476880366,0.4754429713028116,0.48915041189028385,1.0,0.8563468603132236,0.5324624476880366
1996,-0.04536314938235542,0.1700343205170689,0.18781012232962713,0.10611572492100407,0.1659698124212352,0.21720883836656713,0.04025719648625525,0.5939710541742362,0.6079159782228212,0.17430750925981808,0.9466666666666659,0.7775364105847489,0.5939710541742362
1997,-0.24516755894628606,0.0693220609425631,0.033998705115943384,-0.13538610722111732,0.1652797098696035,0.08661445617870545,0.02356830164480961,0.5514336673863143,0.4335925275470562,0.10249968758974881,0.9199999999999999,0.6245710720209379,0.5514336673863143
1998,-0.006069558215309634,0.18209178313302044,-0.055430237457238185,0.14583167070617442,0.12860019189841276,0.0877389309660721,-0.0027769598086297975,0.5177134916354336,0.5880198747219637,0.1483801199452317,0.9733333333333336,0.5788375174875051,0.5177134916354336
1999,0.01175873828747065,0.09996485793393206,0.0546710139164337,-0.1586432338403747,0.09770345693321847,0.014691581822745103,0.020734398020342937,0.6733096048253568,0.21524288121156568,0.3349104298119141,0.8399999999999999,0.0,0.6733096048253568
2000,-0.06461874898470032,0.12743467245115414,0.05972785092000077,-0.08052037665801892,0.054328152895196435,-0.08640240970490609,0.04653997575954172,0.7206623024343239,0.4791822411727434,0.2026965880125,0.7466666666666666,0.536706831537105,0.7206623024343239
2001,0.014021899590319187,0.2155522016141238,0.11082410237593354,-0.10208775414563442,0.1492972706562039,0.08640240970490609,0.03350918370314737,0.7716176690038661,0.34542984081751005,0.0,0.5466666666666664,0.48909782784511885,0.7716176690038661
2002,0.21479049748003387,0.20241922150308822,0.15527139425158554,-0.1079433840760804,0.1745134628090752,0.06891401326000635,0.02698660072068826,0.851506128718625,0.8409846747693253,0.2804417680658622,0.3199999999999994,0.5192298632497476,0.851506128718625
2003,0.19668424409952134,-0.3317492458915905,-0.14815122044608087,-0.13189070316706264,0.13054426279239228,-0.0022099259335734978,0.037123244072409634,0.6315489714336063,0.0,0.49616673820702095,0.5999999999999996,0.8350904273886759,0.6315489714336063
2004,0.04853334783450158,-0.15791737413010587,0.21468293961573792,-0.08790596479343815,0.13145206556312017,-0.09468356038353498,0.059680944554663995,0.38452864609992254,0.21289396662447563,0.474843965532624,0.7199999999999998,0.9587050896472004,0.38452864609992254
2005,0.15805693479432303,-0.01565908205321076,0.2916597196946866,-0.10165484704463434,0.17433681133154622,-0.03422308503619531,0.07081075334176035,0.3382625119622952,0.202798271194421,0.3992124523204814,0.45333333333333314,0.8700489533066171,0.3382625119622952
2006,0.21445090877159334,0.06280715290547478,0.3637402150228377,0.031211896402237205,0.21422449986369596,-0.052530340808286446,0.07219546874314098,0.16664094677714492,0.358308190589358,0.7291854206978166,0.3599999999999999,0.9244109882363895,0.16664094677714492
2007,0.27449976648451635,0.039640089505046605,0.28557255994572106,0.059645005295608566,0.2145885699739729,-0.012903445353949827,0.06558982897494481,0.051270307889996314,0.5110919362225954,0.8290865055961907,0.4266666666666663,1.0,0.051270307889996314
2008,0.03350298650499983,0.1592026857239015,-0.04964695897415705,-0.058365414589983455,0.14124397751868933,0.0044682997024025894,0.03763766908176969,0.03173006746759932,0.6077244885078127,1.0,0.5599999999999996,0.9561579573264135,0.03173006746759932
2009,0.24396571990516147,0.02539154132170829,-0.14323413993014933,0.14386781287167416,0.00885384226353736,0.04830177858672391,-0.021445473418946648,0.3893200577959023,0.4330642647369746,0.05822747093004532,0.6533333333333333,0.04300664171624946,0.3893200577959023
2010,0.24482704578304482,-0.14618692691733504,0.2043017141248331,-0.07470445293490213,0.06593971830766865,0.047697184263072234,0.028261294587077046,0.5456006001647091,0.2761650452519409,0.31806354576301765,0.3599999999999999,0.1724681740754744,0.5456006001647091
2011,0.11017076792099445,-0.008241514384005333,0.10160958393642971,0.015394028091290757,0.07365644778426894,-0.0016214399743557095,0.034815626176763814,0.4541907122168457,0.44177776874384694,0.41909075786718586,0.3199999999999994,0.6150632640963785,0.4541907122168457
2012,0.05528658084007443,0.12281340802712681,0.10446585756807814,-0.1438242363840374,0.05829981852044597,0.0032401780096087407,0.029484155443055826,0.0816820400303343,0.4135759654638747,0.415592864448445,0.1333333333333333,0.47765767227200306,0.0816820400303343
2013,-0.3256535662046307,0.16213256839309143,0.17400541671658498,0.12124454863187206,0.06129420194680524,-0.00649088891044336,0.0257925904409948,0.0,0.38197727459153075,0.30291434439245535,0.040000000000000036,0.6921567374977159,0.0
