Time,share_prices
1991,6.627704
1992,6.979475
1993,7.989236999999999
1994,11.2186
1995,11.51568
1996,13.894870000000001
1997,14.3754
1998,13.60025
1999,14.36449
2000,15.24859
2001,17.0357
2002,19.897270000000002
2003,17.157429999999998
2004,21.2661
2005,28.467809999999997
2006,40.95665
2007,54.493790000000004
2008,51.8544
2009,44.934490000000004
2010,55.11971
2011,61.01483
2012,67.73363
2013,80.60722
2014,94.83372
2015,100.0
2016,99.2396
2017,105.6489
